time, id1, id2, amount, message
2016-11-02 09:39:28, 73160, 40760, 19.25, rito 
2016-11-02 09:39:29, 38637, 3833, 36.98, MSU football💚💚 
2016-11-02 09:39:30, 63955, 17252, 14.43, 🎮 
2016-11-02 09:39:33, 1745, 1757, 20.57, Big sausage 
2016-11-02 09:39:35, 64144, 49831, 8.47, 🍴 dinner 
2016-11-02 09:39:37, 70406, 30143, 25.54, For letting me eat the pizza I deserve 
2016-11-02 09:39:38, 2191, 940, 23.09, 🗑🍴 
2016-11-02 09:39:40, 20623, 798, 7.95, 🇫🇷 lunch 
2016-11-02 09:39:46, 43929, 4755, 27.92, Napa 
2016-11-02 09:39:48, 33250, 10431, 20.49, BM and comedy night! 
2016-11-02 09:39:49, 66508, 20954, 9.74, Sandwich and parking and stuff 
2016-11-02 09:39:52, 15467, 11319, 24.34, 🚗💨 
2016-11-02 09:39:52, 2775, 8097, 26.55, 🍻🍻 
2016-11-02 09:39:53, 44786, 11383, 27.76, Food 
2016-11-02 09:39:54, 21274, 21282, 15.89, Life is a beach! :) 
2016-11-02 09:39:54, 34627, 11063, 21.24, 💊 cough drops 
2016-11-02 09:39:56, 18540, 5161, 30.88, Sundaze 
2016-11-02 09:39:57, 63870, 17150, 30.36, 🐥 
2016-11-02 09:39:57, 5946, 7670, 19.21, Drinks & chasers 
2016-11-02 09:39:57, 59478, 12851, 1.82, Mimi 
2016-11-02 09:39:59, 10856, 17211, 26.36, Partyyyyyy 
2016-11-02 09:40:00, 71742, 34571, 18.24, 🇲🇽🇲🇽🇲🇽 
2016-11-02 09:40:01, 64122, 17497, 14.02, 🍻 
2016-11-02 09:40:04, 62836, 15950, 30.16, 🍺 
2016-11-02 09:40:05, 14506, 4019, 25.39, Guys 
2016-11-02 09:40:08, 10371, 8673, 1.64, Doggis 
2016-11-02 09:40:11, 72113, 36101, 25.36, New pair of Heelys 
2016-11-02 09:40:11, 39274, 4116, 24.90, Beach food! 
2016-11-02 09:40:13, 51619, 10132, 35.26, Rent 
2016-11-02 09:40:16, 5623, 21412, 35.40, 💵🔙 
2016-11-02 09:40:18, 7936, 51058, 3.30, PokeCoins, PokeBalls, and Mon 
2016-11-02 09:40:18, 6222, 11786, 23.02, 🍳 
2016-11-02 09:40:20, 72959, 39931, 23.95, gam gramps 
2016-11-02 09:40:21, 62877, 15981, 7.56, Jackk 🍟🍔 
2016-11-02 09:40:21, 58181, 11875, 20.72, 🚕 
2016-11-02 09:40:22, 14876, 11782, 33.40, Porque ily ily ily TYSM for feeding me🙃🙃 
2016-11-02 09:40:27, 40834, 28878, 16.15, 👍🏽 
2016-11-02 09:40:28, 9385, 3348, 24.65, You used to call me on my 📲 
2016-11-02 09:40:30, 15257, 631, 39.61, Yeti rambler 
2016-11-02 09:40:31, 7007, 7669, 12.39, Pancakes for the table 
2016-11-02 09:40:34, 36566, 20232, 27.08, Unlimited carrots for Winnie. 
2016-11-02 09:40:39, 8316, 16932, 27.87, Rush shirts 😍🌎 
2016-11-02 09:40:40, 57140, 11185, 31.91, Tacos and whatnof 
2016-11-02 09:40:41, 69764, 28245, 1.88, 🍺 
2016-11-02 09:40:44, 46210, 9597, 20.49, Brunch 
2016-11-02 09:40:45, 2425, 1566, 18.06, Being my momma 
2016-11-02 09:40:47, 45764, 5526, 34.32, LBI 
2016-11-02 09:40:47, 12284, 58753, 11.28, Atherosclerosis 
2016-11-02 09:40:48, 36917, 3806, 20.05, ♥ 💖 
2016-11-02 09:40:51, 58785, 20511, 27.78, 🍺🍻 
2016-11-02 09:40:51, 63040, 17150, 7.94, DQ 
2016-11-02 09:40:59, 5075, 42621, 23.73, Lunch 
2016-11-02 09:41:01, 34906, 2924, 26.45, Fox/duck 🎁 
2016-11-02 09:41:03, 1062, 111, 27.27, Sweet Segway skills 
2016-11-02 09:41:04, 5809, 20832, 24.85, 🍤🍤🍤 
2016-11-02 09:41:04, 11919, 36850, 10.50, Cab 
2016-11-02 09:41:05, 18627, 15579, 1.75, The hunt 
2016-11-02 09:41:06, 51304, 8083, 34.25, A taste of New Orleans 
2016-11-02 09:41:07, 20271, 14847, 10.06, 🍕🍕 
2016-11-02 09:41:09, 20611, 796, 16.44, Hello 
2016-11-02 09:41:10, 7156, 1890, 29.85, 🍔 
2016-11-02 09:41:11, 25338, 1464, 22.14, 🍻 
2016-11-02 09:41:12, 12126, 157, 28.95, Greece!!!! ⛵🏖🏝🌏 
2016-11-02 09:41:12, 6166, 7983, 21.43, 🕶 
2016-11-02 09:41:12, 12623, 175, 29.25, 😡 
2016-11-02 09:41:17, 26000, 1560, 19.65, Lake weekend 
2016-11-02 09:41:18, 48089, 6139, 34.50, 🚜 
2016-11-02 09:41:18, 9916, 12970, 27.18, Apt 
2016-11-02 09:41:20, 212, 6116, 20.48, 💕☕️ 
2016-11-02 09:41:20, 1992, 14764, 32.83, Catalina 😛😛😛 
2016-11-02 09:41:20, 6875, 34, 18.18, Kbbq 💕💕💕 
2016-11-02 09:41:21, 14961, 4121, 16.06, Güd 
2016-11-02 09:41:22, 20427, 3873, 35.67, 🍕 
2016-11-02 09:41:22, 52453, 18555, 10.64, today, we say goodbye to our beloved snickers 
2016-11-02 09:41:24, 73844, 44016, 26.08, 👻 
2016-11-02 09:41:25, 32404, 2535, 15.43, Drag Queens 👄🙅🏼👸🏾 
2016-11-02 09:41:27, 56615, 5100, 21.04, 🚖 
2016-11-02 09:41:28, 29195, 9889, 30.05, 😬🍹❄️ 
2016-11-02 09:41:30, 23942, 5854, 33.99, Whitney 
2016-11-02 09:41:30, 568, 8345, 27.29, 🍻 
2016-11-02 09:41:32, 39208, 15455, 35.95, Water bill June 
2016-11-02 09:41:33, 10313, 656, 26.85, Fire island 
2016-11-02 09:41:34, 14209, 6623, 31.78, 💦💸 
2016-11-02 09:41:35, 22509, 6035, 7.31, Not 🍕 
2016-11-02 09:41:36, 26417, 50121, 20.35, Firewood 
2016-11-02 09:41:37, 25240, 13611, 22.50, 👻 
2016-11-02 09:41:38, 26202, 1593, 5.68, Spoon rocket 
2016-11-02 09:41:40, 22171, 23230, 35.27, Wiggin out for willy 
2016-11-02 09:41:42, 3212, 3332, 23.26, 📱+🚗 
2016-11-02 09:41:45, 1853, 11438, 20.31, 🦄🦄🦄 
2016-11-02 09:41:46, 14770, 61532, 15.46, Egg roll 
2016-11-02 09:41:46, 69584, 27677, 32.36, Big stick 
2016-11-02 09:41:47, 38879, 3930, 11.75, Cabo 
2016-11-02 09:41:49, 77011, 72879, 8.60, 🍹🍸🌮 
2016-11-02 09:41:50, 17030, 397, 31.40, Food 
2016-11-02 09:41:52, 61766, 19781, 19.50, 🏌🏌🏌 
2016-11-02 09:41:52, 51892, 14999, 24.75, Horrible service 
2016-11-02 09:41:53, 50800, 14046, 24.65, Splitwise 
2016-11-02 09:41:53, 68689, 25661, 22.35, Drano and toilet thing 
2016-11-02 09:41:53, 18678, 7538, 25.44, Atm 
2016-11-02 09:41:53, 76141, 62583, 14.79, Cat food 
2016-11-02 09:41:54, 22377, 45123, 32.30, 🖕🏻 
2016-11-02 09:41:55, 43050, 4938, 27.73, 🙃 
2016-11-02 09:41:57, 23585, 7496, 6.06, Wake up ☀️☀️☀️☀️ 
2016-11-02 09:41:57, 34503, 4251, 28.33, Aloha bbq 
2016-11-02 09:41:58, 22494, 17456, 19.27, China food 
2016-11-02 09:42:00, 32338, 13281, 11.16, 🎳 
2016-11-02 09:42:01, 4754, 10088, 25.73, 🚕 
2016-11-02 09:42:01, 20539, 4398, 23.94, ☕️ 
2016-11-02 09:42:03, 9839, 15000, 39.80, 4 lite 
2016-11-02 09:42:04, 64759, 18768, 23.36, The orange can 
2016-11-02 09:42:05, 283, 5409, 12.22, 🐎🏆🚗💷💶💴🇨🇱📲💸💸💸💸💸 
2016-11-02 09:42:09, 67982, 23735, 21.75, 🍸💞🍸💞 
2016-11-02 09:42:11, 36000, 3751, 30.25, Camp ground pass 
2016-11-02 09:42:11, 21085, 15248, 29.76, Test 
2016-11-02 09:42:12, 30686, 2386, 28.31, Brunch at the Cottage 🍳 
2016-11-02 09:42:14, 13306, 9388, 30.62, Direct tv and pgw 
2016-11-02 09:42:15, 32831, 22119, 26.37, Food 
2016-11-02 09:42:16, 40648, 73118, 23.34, Cerveza 
2016-11-02 09:42:17, 549, 13189, 25.28, 🍘 
2016-11-02 09:42:18, 13889, 11648, 6.17, I'm coming at you like a dark horse??? 
2016-11-02 09:42:22, 19933, 5651, 44.39, 🍕 
2016-11-02 09:42:23, 2114, 10037, 22.16, 🍜🍲 
2016-11-02 09:42:24, 19152, 10327, 28.17, Shiz 
2016-11-02 09:42:25, 16517, 27668, 23.30, January rent - happy new year! 
2016-11-02 09:42:27, 16952, 4723, 27.59, 💒 wedding photography 
2016-11-02 09:42:28, 11031, 1490, 10.32, Gave you 60 in cash 
2016-11-02 09:42:33, 28428, 1941, 43.20, Parking 🚙 💰 
2016-11-02 09:42:35, 3152, 19372, 5.31, 🍾🍾💋🍩🍰🌊🌪🏄⚓️🎉🎉🎈🎈🎈🎈🎈🎈🎈🎈🎈(X11) and for simply being a badass 🎀🎀💍💍👙👙💋💋🍉🍟🍔🌮🍣🍦 
2016-11-02 09:42:37, 38687, 15014, 19.17, Friendship 
2016-11-02 09:42:38, 6161, 195, 6.89, Upgraded service boyz 
2016-11-02 09:42:39, 42984, 4926, 31.30, ❤️💛🏈 
2016-11-02 09:42:40, 23632, 14993, 14.76, 🤔 
2016-11-02 09:42:43, 17763, 17762, 33.42, 😋 
2016-11-02 09:42:43, 3275, 4453, 21.26, 🦀 
2016-11-02 09:42:44, 29528, 29255, 30.13, 🌕 
2016-11-02 09:42:46, 25213, 1445, 16.52, 🍳🍞🍳🍳🍳🍳 
2016-11-02 09:42:47, 44852, 56641, 18.28, Biggest fish, clarification: still not a big fish... 
2016-11-02 09:42:48, 48883, 6386, 12.03, 😺😺 
2016-11-02 09:42:48, 41283, 4702, 23.39, 🍴 lunch 
2016-11-02 09:42:53, 8193, 988, 15.68, Ge 
2016-11-02 09:42:55, 51643, 66897, 11.63, 👍🏻👍🏻👍🏻 
2016-11-02 09:42:56, 5982, 8220, 22.05, Yeah Becky 
2016-11-02 09:42:56, 41576, 73359, 12.51, Sunday din 
2016-11-02 09:42:57, 57982, 11782, 27.13, Dinner minus dessert 
2016-11-02 09:42:57, 26255, 17846, 24.15, 💉 
2016-11-02 09:42:57, 8619, 3847, 23.44, 🦄🦄🦄🦄🦄🦄🦄🦄🦄🦄🦄🦄🦄🦄🦄🦄🦄🦄🦄🦄🦄🦄🦄🦄🦄🦄🦄🦄🦄🦄🦄🦄🦄🦄🦄🦄🦄🦄🦄🦄🦄🦄🦄🦄🦄🦄🦄🦄🦄🦄🦄🦄🦄🦄🦄🦄🦄🦄🦄🦄🦄🦄🦄🦄🦄🦄🦄🦄🦄🦄🦄🦄🦄🦄🦄🦄🦄🦄 
2016-11-02 09:43:01, 10580, 5277, 19.83, Texas forever 
2016-11-02 09:43:02, 2945, 8381, 22.98, You are rich 
2016-11-02 09:43:02, 19223, 12166, 28.02, 🍰 
2016-11-02 09:43:03, 53117, 8956, 35.84, PARK SO HARD 
2016-11-02 09:43:05, 26914, 1692, 23.12, Case 
2016-11-02 09:43:06, 35779, 72047, 45.92, for electric 
2016-11-02 09:43:09, 16622, 8408, 22.88, Brandy library 
2016-11-02 09:43:10, 56374, 10676, 12.13, 💃🏻️ 
2016-11-02 09:43:10, 313, 15799, 25.30, Food splurges 
2016-11-02 09:43:11, 24091, 13095, 22.97, Hi 
2016-11-02 09:43:11, 9938, 5284, 27.40, Cell 📱💸 
2016-11-02 09:43:12, 35128, 8504, 16.69, ✔️ Jacket 
2016-11-02 09:43:12, 21088, 3736, 6.17, For the humans 
2016-11-02 09:43:13, 22502, 32286, 25.95, Last night 
2016-11-02 09:43:13, 56059, 15817, 6.31, Jug 
2016-11-02 09:43:14, 18993, 5277, 35.44, Atm 
2016-11-02 09:43:14, 21660, 1900, 19.28, Waffles 
2016-11-02 09:43:16, 45754, 22411, 24.49, Start to finish 
2016-11-02 09:43:19, 9632, 29854, 30.71, Tiiiiiiiiiipzzzz 
2016-11-02 09:43:19, 6901, 5703, 17.43, It's on the budget 
2016-11-02 09:43:19, 15165, 5619, 27.94, Spares and terrible multipliers 
2016-11-02 09:43:22, 56514, 10736, 24.74, Meh 
