time, id1, id2, amount, message
2016-11-02 09:50:00, 41890, 4789, 22.88, 🍆 
2016-11-02 09:50:00, 11008, 20937, 32.29, bp 
2016-11-02 09:50:00, 35165, 2781, 23.20, $40 for game ticket and $20 for food, booze, (including what I bought) and lyft 
2016-11-02 09:50:02, 15845, 7111, 20.54, 🌞 
2016-11-02 09:50:02, 27245, 1751, 13.90, 🍹 
2016-11-02 09:50:03, 14337, 225, 2.07, Sandy 
2016-11-02 09:50:03, 40324, 15704, 10.68, Honest pint 
2016-11-02 09:50:03, 50552, 33918, 19.99, Thks 
2016-11-02 09:50:05, 51565, 8242, 22.90, Soulection 
2016-11-02 09:50:05, 44908, 6281, 32.46, Cute things 
2016-11-02 09:50:06, 63461, 16770, 26.51, Food 
2016-11-02 09:50:10, 44603, 10695, 20.94, Yimmy 
2016-11-02 09:50:14, 43440, 19046, 27.32, LIT🔥🔥🔥🔥 
2016-11-02 09:50:15, 31149, 2470, 16.55, You can't drown a tuna 
2016-11-02 09:50:15, 51604, 6194, 10.35, 🏠 
2016-11-02 09:50:16, 22526, 10111, 29.77, ‼️ 
2016-11-02 09:50:17, 3050, 8662, 21.60, Nacho libre 
2016-11-02 09:50:18, 29765, 4547, 19.43, 🎳 
2016-11-02 09:50:18, 20376, 777, 22.05, 🍻 
2016-11-02 09:50:19, 3032, 28390, 22.38, Sisu 😘 
2016-11-02 09:50:19, 12585, 6887, 6.53, Bae goals 
2016-11-02 09:50:20, 56661, 10845, 24.94, ❤️❤️❤️ 
2016-11-02 09:50:21, 2077, 11009, 5.79, Doooooood 
2016-11-02 09:50:23, 60342, 13555, 12.12, Nasi campur 
2016-11-02 09:50:23, 42101, 19152, 8.41, ☕ 
2016-11-02 09:50:24, 29978, 58428, 12.37, 🌮 
2016-11-02 09:50:25, 13314, 9705, 32.10, 💕💕🍀 
2016-11-02 09:50:27, 38911, 3940, 20.54, Fun things 
2016-11-02 09:50:29, 26063, 6265, 36.90, Elmo said mocha, HELLOOOO 
2016-11-02 09:50:30, 46848, 71844, 17.79, Parking catalina 
2016-11-02 09:50:30, 69849, 28512, 35.06, 💃🏻 
2016-11-02 09:50:31, 42199, 65083, 36.26, 🍕 
2016-11-02 09:50:31, 27886, 49208, 18.24, IHOP 
2016-11-02 09:50:33, 10398, 8286, 3.62, 👀 
2016-11-02 09:50:33, 30533, 5611, 25.26, 👊 
2016-11-02 09:50:33, 27077, 5341, 22.64, 🍜 
2016-11-02 09:50:34, 37635, 4895, 13.44, Food and love 💃💃💃👯👯👯 
2016-11-02 09:50:34, 49580, 7096, 19.56, 🙄 
2016-11-02 09:50:38, 76875, 71242, 30.88, Bday fat 
2016-11-02 09:50:39, 49758, 15953, 17.47, 🚈🚈🚈🚈🚈 
2016-11-02 09:50:39, 45035, 10933, 10.44, You always win this game! 
2016-11-02 09:50:40, 32862, 2605, 1.92, 📚 
2016-11-02 09:50:40, 48306, 22063, 17.15, T&A 
2016-11-02 09:50:41, 73398, 41786, 13.98, 151 
2016-11-02 09:50:41, 45955, 27673, 27.36, 🍕 
2016-11-02 09:50:42, 42476, 73518, 20.52, Thanks for the 🚗 
2016-11-02 09:50:43, 60790, 2835, 31.06, DTE 
2016-11-02 09:50:43, 75884, 498, 10.47, Vegas! Thanks for organizing! 
2016-11-02 09:50:43, 72178, 21669, 13.58, Next round 
2016-11-02 09:50:44, 72470, 38722, 18.63, 🐄🐄 
2016-11-02 09:50:44, 10131, 55292, 12.32, Helicoptering 
2016-11-02 09:50:44, 74266, 30907, 23.48, Happy ending for Michael 
2016-11-02 09:50:46, 74123, 45644, 7.49, 🚴🏽🚴🏽🚴🏽🚴🏽 
2016-11-02 09:50:47, 10967, 20507, 11.11, Brunch 
2016-11-02 09:50:48, 42616, 9531, 14.03, Food 
2016-11-02 09:50:49, 54457, 59, 18.53, OCTOBER 2015 Telephone Fee 
2016-11-02 09:50:49, 9803, 85, 15.17, Uber 
2016-11-02 09:50:49, 24471, 24470, 27.69, Blaze up 
2016-11-02 09:50:49, 17063, 398, 42.13, 🐎 
2016-11-02 09:50:50, 71582, 69438, 34.06, Foooooood 
2016-11-02 09:50:50, 52754, 8765, 12.31, 🌵🌵🌵🌵🌵🌵🌵🌵🌵🌵🌵🌵🌵 
2016-11-02 09:50:51, 17033, 1467, 26.19, Costco 10/11/15 
2016-11-02 09:50:52, 20463, 786, 3.70, Pizza! X2 
2016-11-02 09:50:53, 28158, 41005, 37.04, Laying it out 
2016-11-02 09:50:54, 47190, 22193, 13.38, Hey 
2016-11-02 09:50:57, 5314, 42077, 10.79, Alch 
2016-11-02 09:50:58, 52814, 8808, 32.68, Paris hotel 
2016-11-02 09:50:59, 41099, 73250, 7.30, 🍳 
2016-11-02 09:51:01, 41578, 4736, 27.54, The Nice Guys 🚬🔫 
2016-11-02 09:51:02, 74571, 12597, 37.02, 🍻 
2016-11-02 09:51:03, 25108, 1439, 15.91, Gus 
2016-11-02 09:51:05, 8, 5195, 9.86, 👏🏼grand ole opry 
2016-11-02 09:51:07, 53637, 52546, 28.82, 🍻🍪👭 
2016-11-02 09:51:07, 59902, 10159, 20.82, 🍝 
2016-11-02 09:51:10, 62797, 41655, 19.30, The longest car 🚗 
2016-11-02 09:51:12, 43851, 5090, 1.57, 🍄🍲 
2016-11-02 09:51:14, 49709, 61080, 21.41, 🕵🐿 smol* 🐜 
2016-11-02 09:51:15, 74206, 46265, 35.53, Recount 
2016-11-02 09:51:15, 64013, 52093, 11.88, Pretending to ⛳ 
2016-11-02 09:51:15, 28306, 11693, 29.15, 🚕 
2016-11-02 09:51:17, 28079, 1876, 30.93, Airport 
2016-11-02 09:51:17, 48479, 11279, 18.35, For the boys 
2016-11-02 09:51:23, 22487, 3366, 19.19, Dog food 
2016-11-02 09:51:23, 55828, 56201, 14.84, ubah 🚘 
2016-11-02 09:51:23, 6153, 1854, 26.65, Uber 
2016-11-02 09:51:23, 31118, 10794, 21.17, 🍴 
2016-11-02 09:51:23, 75525, 25219, 22.45, 🗑 
2016-11-02 09:51:24, 40221, 377, 28.00, Q 
2016-11-02 09:51:24, 14568, 8672, 21.98, 🖕🏻🖕🏻🖕🏻🖕🏻🖕🏻😉🖕🏻🖕🏻😉😉🖕🏻🖕🏻🖕🏻🖕🏻🖕🏻🖕🏻🖕🏻🖕🏻🖕🏻🖕🏻🖕🏻🖕🏻🖕🏻🖕🏻🖕🏻🖕🏻🖕🏻🖕🏻🖕🏻🖕🏻🖕🏻🖕🏻🖕🏻🖕🏻🖕🏻🖕🏻🖕🏻🖕🏻🖕🏻🖕🏻🖕🏻🖕🏻🖕🏻🖕🏻🖕🏻🖕🏻🖕🏻🖕🏻🖕🏻🖕🏻🖕🏻🖕🏻🖕🏻🖕🏻🖕🏻🖕🏻🖕🏻🖕🏻🖕🏻🖕🏻🖕🏻🖕🏻🖕🏻🖕🏻🖕🏻🖕🏻🖕🏻🖕🏻🖕🏻🖕🏻🖕🏻🖕🏻🖕🏻🖕🏻🖕🏻🖕🏻😉🖕🏻🖕🏻 
2016-11-02 09:51:25, 38807, 26487, 11.32, Utopia application 
2016-11-02 09:51:26, 12520, 175, 28.12, 👻🚫 
2016-11-02 09:51:27, 69567, 54884, 1.17, Snooze-E-Mon! 
2016-11-02 09:51:27, 63311, 16555, 19.23, Food! 
2016-11-02 09:51:29, 59610, 9134, 12.46, For the one cent I owe you 💁🏿 
2016-11-02 09:51:29, 26198, 37631, 16.99, Yeezys 
2016-11-02 09:51:29, 20473, 30957, 15.99, Because I'm unemployed and can't treat for brunch 
2016-11-02 09:51:31, 43599, 43958, 38.51, ♡♡ 
2016-11-02 09:51:33, 41946, 28054, 32.78, Las ventanas 
2016-11-02 09:51:33, 56647, 10835, 26.54, 🍺 
2016-11-02 09:51:45, 60204, 13409, 25.11, fuel 
2016-11-02 09:51:49, 44152, 13207, 21.01, Class dues 
2016-11-02 09:51:49, 68360, 24820, 25.76, Happy birthday! 
2016-11-02 09:51:49, 74492, 14844, 16.80, 🍕 
2016-11-02 09:51:50, 15991, 72486, 19.50, Salad 
2016-11-02 09:51:51, 5359, 14489, 36.22, thx !! 
2016-11-02 09:51:52, 49111, 9274, 15.85, 👸🏻👁 
2016-11-02 09:51:52, 14964, 7731, 20.44, 🍹+💃 
2016-11-02 09:51:53, 39445, 19955, 12.75, 🍀🍀🍀 
2016-11-02 09:51:56, 4466, 2849, 29.66, 👜❤️ 
2016-11-02 09:51:57, 15218, 267, 19.56, 🍆 
2016-11-02 09:51:58, 28713, 28715, 15.51, 🚚 
2016-11-02 09:51:58, 10172, 10446, 15.98, Pho King 
2016-11-02 09:52:01, 11144, 125, 13.73, 🍕 🍻 ⛵ 
2016-11-02 09:52:03, 20707, 7849, 17.70, Amazon 
2016-11-02 09:52:08, 8204, 13188, 19.87, ❤️ 
2016-11-02 09:52:09, 58026, 12172, 14.44, 🤑 
2016-11-02 09:52:11, 29800, 5603, 10.32, Algebra tutoring. Thank you to the second power. 
2016-11-02 09:52:12, 62993, 1521, 34.43, Food 
2016-11-02 09:52:12, 33081, 2669, 14.61, Td 
2016-11-02 09:52:13, 3689, 5255, 24.26, 👳👳 
2016-11-02 09:52:14, 63954, 17252, 20.15, Betches and Tyrone 
2016-11-02 09:52:14, 57633, 7962, 14.08, . 
2016-11-02 09:52:15, 60283, 50605, 22.25, Hanky panky 
2016-11-02 09:52:16, 12688, 1, 37.68, Winter tea 
2016-11-02 09:52:20, 41879, 4777, 30.80, 💄🙋🏽👰🏽 
2016-11-02 09:52:21, 45140, 5375, 29.57, 🍕🍕🍕🍕 
2016-11-02 09:52:21, 68718, 25648, 15.21, 🐒 
2016-11-02 09:52:27, 19304, 19296, 37.07, Whaattaaa 
2016-11-02 09:52:29, 24786, 1823, 29.22, 💯🇺🇸🔫💰🎉 
2016-11-02 09:52:30, 18444, 30811, 32.81, 🚌 
2016-11-02 09:52:30, 24213, 12109, 29.75, Here is the rest of the money 
2016-11-02 09:52:31, 37840, 3483, 12.23, The best dinner ever 
2016-11-02 09:52:31, 42030, 4802, 33.62, 🦄🦄🦄🐣🐣🐣 
2016-11-02 09:52:31, 20818, 27803, 11.33, Some fun 
2016-11-02 09:52:35, 12227, 8594, 10.66, moneys 
2016-11-02 09:52:41, 76438, 76437, 26.99, U 
2016-11-02 09:52:41, 30846, 8242, 25.99, Jack 
2016-11-02 09:52:42, 16997, 7909, 4.24, 🌯🍴 
2016-11-02 09:52:44, 130, 1318, 31.07, 👕 
2016-11-02 09:52:45, 8926, 10801, 25.27, 🇺🇸🇺🇸 
2016-11-02 09:52:47, 66019, 20048, 26.45, 😘 
2016-11-02 09:52:48, 63207, 13538, 25.16, Game 
2016-11-02 09:52:48, 64910, 35204, 26.41, My goodies 
2016-11-02 09:52:50, 5858, 11298, 1.50, 🍻👢☀️ 
2016-11-02 09:52:50, 64566, 18150, 18.27, Electricity u sluts 
